,Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,Unnamed: 12,Unnamed: 13,MGRS,Revised_Latitude,Revised_Longitude
83,E84,Deployment Ground,Rasputin,,139.6,88.29,,,,,,,,,56KKV395882,-22.693357315590042,150.4643566467689
84,E83,Deployment Ground,Rasputin,,140.32,88.08,,,,,,,,,56KKV403880,-22.69528547104913,150.47210467778913
85,E82,Deployment Ground,Rasputin,,140.92,87.91,,,,,,,,,56KKV409879,-22.696280103824513,150.47792413335515
86,E81,Deployment Ground,Rasputin,,141.36,87.7,,,,,,,,,56KKV413877,-22.6981464152603,150.481781820089
87,E80,Deployment Ground,Rasputin,,141.8,87.5,,,,,,,,,56KKV418875,-22.700027933592377,150.4866123244441
88,E79,Deployment Ground,Rasputin,,142.16,87.2,,,,,,,,,56KKV421872,-22.70278129303842,150.48948106877725
89,E78,Deployment Ground,Rasputin,,142.56,86.91,,,,,,,,,56KKV425869,-22.705549864146427,150.49332267744586
90,E77,Rendezvous Point,Rasputin,,143.36,86.83,,,,,,,,,56KKV433868,-22.70657419593222,150.50108831888127
91,Pelican,Deployment Area,Pelican,,107.0,79.8,,,,,,,,,56KKV070798,-22.763823699891308,150.14672158992792
92,C69,Camp,Pelican,,106.9,79.36,,,,,,,,,56KKV069793,-22.768317522492868,150.1456548498932
93,Serpentine,Deployment Area,Serpentine,,113.81,81.57,,,,,,,,,56KKV138815,-22.74965414096937,150.21319144795402
94,C66,Rendezvous Point,Serpentine,,113.07,81.52,,,,,,,,,56KKV130815,-22.749518072508188,150.20540874819068
95,C88,Rendezvous Point,Serpentine,,113.34,81.5,,,,,,,,,56KKV133815,-22.749569142525235,150.2083272536297
96,C87,Deployment Ground,Serpentine,,113.55,81.64,,,,,,,,,56KKV135816,-22.74870086226205,150.21029126000963
97,Melody,Deployment Area,Melody,,121.12,80.2,,,,,,,,,56KKV211802,-22.762608868429556,150.2839792128134
98,C62,Rendezvous Point,Melody,,121.23,80.62,,,,,,,,,56KKV212806,-22.75901601656864,150.2850236086024
99,C61,Deployment Ground,Melody,,121.7,80.06,,,,,,,,,56KKV217800,-22.76451285046202,150.28978153118567
100,C92,Deployment Ground,Melody,,122.25,79.86,,,,,,,,,56KKV222798,-22.76640013888113,150.29461100467813
101,C91,Rendezvous Point,Melody,,122.81,79.93,,,,,,,,,56KKV228799,-22.76559667146276,150.30046693350954
102,C60,Deployment Ground,Melody,,121.76,79.53,,,,,,,,,56KKV217795,-22.769024629407475,150.28969240584908
103,C59,Rendezvous Point,Melody,,121.64,79.06,,,,,,,,,56KKV216790,-22.77351986659965,150.28863018540375
104,Spike,Deployment Area,Spike,TRUE,128.75,79.83,,,,,,,,,56KKV287798,-22.767460166645872,150.3578596129909
105,C55,Rendezvous Point,Spike,,126.05,80.5,,,,,,,,,56KKV260805,-22.760706173334782,150.33170948724646
106,C54,Deployment Ground,Spike,,127.15,80.27,,,,,,,,,56KKV271802,-22.763591977463555,150.34236028928478
107,C53,Deployment Ground,Spike,,127.42,79.88,,,,,,,,,56KKV274798,-22.76725016199828,150.34520959085378
108,C52,Deployment Ground,Spike,,127.84,79.55,,,,,,,,,56KKV278795,-22.770022084007664,150.34904957936527
109,C51,Deployment Ground,Spike,,128.42,79.52,,,,,,,,,56KKV284795,-22.770119004257726,150.35488816866192
110,S1,Deployment Ground,Spike,,128.52,79.2,,,,,,,,,56KKV285792,-22.77284234942502,150.35580908596458
111,S2,Deployment Ground,Spike,,128.42,78.52,,,,,,,,,56KKV284785,-22.779143034871947,150.35471412729683
112,S3,Deployment Ground,Spike,,128.71,77.78,,,,,,,,,56KKV287777,-22.786410669608628,150.35749448210194
113,S4,Rendezvous Point,Spike,,128.76,76.89,,,,,,,,,56KKV287768,-22.794532298265647,150.35733787849767
114,C50,Deployment Ground,Spike,,128.42,80.47,,,,,,,,,56KKV284804,-22.761997366909547,150.3550447305107
115,C49,Deployment Ground,Spike,,129.19,81.2,,,,,,,,,56KKV291812,-22.75489084580134,150.36199480503294
116,C48,Rendezvous Point,Spike,,129.8,81.78,,,,,,,,,56KKV298817,-22.750491196877654,150.3688922827995
117,Malito,Deployment Area,Malito,,146.93,82.66,,,,,,,,,56KKV469826,-22.745024245643624,150.5354289514567
118,E76,Rendezvous Point,Malito,,143.93,85.85,,,,,,,,,56KKV439858,-22.715690496654357,150.50676137765115
119,E109,Deployment Ground,Malito,,144.44,85.82,,,,,,,,,56KKV444858,-22.715766299947564,150.5116255475438
120,E86,Rendezvous Point,Malito,,144.96,85.41,,,,,,,,,56KKV449854,-22.71945205186672,150.5164245552686
121,E75,Deployment Ground,Malito,,144.04,85.5,,,,,,,,,56KKV440855,-22.718413223525914,150.50768515214173
122,E74,Deployment Ground,Malito,,144.56,85.12,,,,,,,,,56KKV445851,-22.722099091603287,150.5124841269929
123,E73,Deployment Ground,Malito,,144.96,84.54,,,,,,,,,56KKV449845,-22.727574762001986,150.51627784542
124,E72,Deployment Ground,Malito,,145.37,84.12,,,,,,,,,56KKV453841,-22.731245315854487,150.5201044200316
125,E71,Deployment Ground,Malito,,145.92,83.66,,,,,,,,,56KKV459836,-22.735848477348252,150.5258609132339
126,E70,Deployment Ground,Malito,,146.16,82.75,,,,,,,,,56KKV461827,-22.74400137289314,150.52766073675477
127,E69,Deployment Ground,Malito,,146.52,82.37,,,,,,,,,56KKV465823,-22.74767171443207,150.53148805653032
128,E68,Deployment Ground,Malito,,147.44,81.45,,,,,,,,,56KKV474814,-22.755929707524253,150.54010027236586
129,E67,Rendezvous Point,Malito,,148.4,80.91,,,,,,,,,56KKV484809,-22.76059209934265,150.54975117980763
130,E66,Rendezvous Point,Malito,,148.04,80.41,,,,,,,,,56KKV480804,-22.76504498010125,150.54577776713415
131,Wilson,Deployment Area,Wilson,,158.56,83.25,,,,,,,,,56KKV585832,-22.74131101841317,150.6484021224926
132,E30,Deployment Ground,Wilson,,159.32,84.08,,,,,,,,,56KKV593840,-22.734204540755265,150.6563102239853
133,E31,Deployment Ground,Wilson,,158.6,84.04,,,,,,,,,56KKV586840,-22.73410445910512,150.64949874885352
134,E14,Rendezvous Point,Wilson,,157.22,84.04,,,,,,,,,56KKV572840,-22.733903426212674,150.63587591379516
135,E32,Rendezvous Point,Wilson,,156.48,83.62,,,,,,,,,56KKV564836,-22.737398417558204,150.62802919572468
136,Cabin,Deployment Area,Cabin,,108.21,75.66,,,,,,,,,56KKV082756,-22.801926693669884,150.15761065162766
137,E999,Deployment Ground,Cabin,,106.5,76.89,,,,,,,,,56KKV065768,-22.790803843544758,150.14129292197958
138,Oscar,Deployment Area,Oscar,,106.37,73.37,,,,,,,,,56KKV063733,-22.822347160269217,150.13868695421655
139,Caesar,Deployment Area,Caesar,,112.37,73.42,,,,,,,,,56KKV123734,-22.822483675513396,150.19710479341174
140,Yaohan,Deployment Area,Yaohan,,123.93,75.46,,,,,,,,,56KKV239754,-22.80638403907247,150.31037360959448
141,S70,Rendezvous Point,Yaohan,,122.12,78.41,,,,,,,,,56KKV221784,-22.779016646677164,150.2933887029668
142,S71,Deployment Ground,Yaohan,,122.24,78.0,,,,,,,,,56KKV222780,-22.782642590848173,150.2942905897392
143,S72,Deployment Ground,Yaohan,,122.4,77.37,,,,,,,,,56KKV224773,-22.78899211531658,150.29611227890894
144,S73,Deployment Ground,Yaohan,,123.08,76.91,,,,,,,,,56KKV230769,-22.792700498124233,150.3018803584245
145,S74,Deployment Ground,Yaohan,,123.08,75.7,,,,,,,,,56KKV230757,-22.80352883309924,150.3016670806029
146,S75,Deployment Ground,Yaohan,,126.0,74.5,,,,,,,,,56KKV260745,-22.81484922712636,150.33065524480307
147,S76,Rendezvous Point,Yaohan,,126.32,74.08,,,,,,,,,56KKV263740,-22.819410054204088,150.33348754399347
148,Metro,Deployment Area,Metro,,128.52,72.58,,,,,,,,,56KKV285725,-22.833303160097838,150.35464157514213
149,Winsor,Deployment Area,Winsor,,146.2,73.87,,,,,,,,,56KKV461738,-22.82432598724413,150.52621182840548
150,E57,Rendezvous Point,Winsor,,144.44,71.56,,,,,,,,,56KKV444715,-22.844825642773333,150.50928246231302
151,E58,Deployment Ground,Winsor,,144.45,72.26,,,,,,,,,56KKV444722,-22.838508106483637,150.5093975541813
152,E59,Deployment Ground,Winsor,,144.88,72.56,,,,,,,,,56KKV448725,-22.835861480649086,150.51334161610305
153,E60,Deployment Ground,Winsor,,145.28,72.56,,,,,,,,,56KKV452725,-22.835922276983425,150.5172363786996
154,E61,Deployment Ground,Winsor,,145.4,73.43,,,,,,,,,56KKV454734,-22.827830021549815,150.51933108115614
155,E62,Rendezvous Point,Winsor,,145.84,74.26,,,,,,,,,56KKV458742,-22.820670517461068,150.52335631935873
156,E56,Deployment Ground,Winsor,,145.8,73.13,,,,,,,,,56KKV458731,-22.83059819961645,150.5231766118878
157,E55,Deployment Ground,Winsor,,146.24,73.65,,,,,,,,,56KKV462736,-22.826146147898378,150.52715282326199
158,E54,Deployment Ground,Winsor,,147.04,74.43,,,,,,,,,56KKV470744,-22.81904672220287,150.53507194867333
159,E53,Deployment Ground,Winsor,,146.92,75.17,,,,,,,,,56KKV469751,-22.81271397587049,150.53421216627333
160,E52,Rendezvous Point,Winsor,,147.04,76.08,,,,,,,,,56KKV470760,-22.804606301836483,150.53533190730155
161,Tyro,Deployment Area,Tyro,,148.12,78.34,,,,,,,,,56KKV481783,-22.784013248527824,150.54641197390137
162,E64,Deployment Ground,Tyro,,148.08,78.13,,,,,,,,,56KKV480781,-22.785803341456027,150.54540631170175
163,E50,Deployment Ground,Tyro,,148.76,77.6,,,,,,,,,56KKV487776,-22.790420785756016,150.55213924543645
164,Golan,Deployment Area,Golan,,152.92,80.17,,,,,,,,,56KKV529801,-22.76847904882626,150.59341854433126
165,E49,Rendezvous Point,Golan,,149.56,78.78,,,,,,,,,56KKV495787,-22.780612154639527,150.56010312525956
166,E48,Deployment Ground,Golan,,150.2,79.0,,,,,,,,,56KKV501790,-22.77799374173043,150.56599118268701
167,E47,Rendezvous Point,Golan,,151.08,78.65,,,,,,,,,56KKV510786,-22.78173740946568,150.57468721530782
168,E103,Rendezvous Point,Golan,,150.68,79.69,,,,,,,,,56KKV506796,-22.772652607841636,150.57095367769858
169,E102,Deployment Ground,Golan,,151.6,79.82,,,,,,,,,56KKV516798,-22.77099538802337,150.58071837365603
170,E101,Deployment Ground,Golan,,152.4,80.04,,,,,,,,,56KKV524800,-22.769308139724867,150.58853634751767
171,E100,Deployment Ground,Golan,,153.2,80.39,,,,,,,,,56KKV531803,-22.766703254282167,150.5953967171397
172,E99,Deployment Ground,Golan,,153.84,80.6,,,,,,,,,56KKV538806,-22.764098050439554,150.60225685059515
173,E96,Rendezvous Point,Golan,,153.56,80.82,,,,,,,,,56KKV535808,-22.76224900230472,150.59936869630693
174,E98,Deployment Ground,Golan,,154.52,80.78,,,,,,,,,56KKV545807,-22.7632976912157,150.60908530268532
175,E36,Deployment Ground,Golan,,155.48,80.65,,,,,,,,,56KKV554806,-22.764331274360718,150.61782885842078
176,E35,Rendezvous Point,Golan,,155.44,81.21,,,,,,,,,56KKV554812,-22.758915750376826,150.6179228442706
177,E37,Rendezvous Point,Golan,,155.92,80.08,,,,,,,,,56KKV559800,-22.76981938494106,150.62260132979213
178,Regata,Deployment Area,Regata,,124.2,70.78,,,,,,,,,56KKV242707,-22.84884451750306,150.3124604794964
179,S50,Deployment Ground,Regata,,123.18,71.42,,,,,,,,,56KKV231714,-22.842346741485468,150.3018753416144
180,Pembroke,Deployment Area,Pembroke,,134.31,70.58,,,,,,,,,56KKV343705,-22.852280291328913,150.41076706836225
181,Aberdeen,Deployment Area,Aberdeen,,102.4,66.21,,,,,,,,,56KKV024662,-22.885716612982925,150.0993693728204
182,Hong Kong,Deployment Area,Hong Kong,,106.14,63.21,,,,,,,,,56KKV061632,-22.913436967090654,150.134828444747
183,Nimrod,Deployment Area,Nimrod,,109.06,60.71,,,,,,,,,56KKV090607,-22.93650031692724,150.1626030136496
184,Petticot,Deployment Area,Petticot,,122.5,66.35,,,,,,,,,56KKV225663,-22.888267386822854,150.2951224380504
185,Betty,Deployment Area,Betty,,136.86,63.92,,,,,,,,,56KKV368639,-22.912236239871167,150.43399060471964
186,Pegasus,Deployment Area,Pegasus,,145.06,66.85,,,,,,,,,56KKV450668,-22.88733477234378,150.5143529707869
187,Hitchcock,Deployment Area,Hitchcock,,161.42,67.0,,,,,,,,,56KKV614670,-22.88794830622615,150.67413995924446
188,Lawrence,Deployment Area,Lawrence,,162.42,62.62,,,,,,,,,56KKV624626,-22.92780558395693,150.68320671543663
189,SUNDRA-LESTER,Path,,Beginner,,,N123,N118,8.905054744,,111.42,110.48,115.68,102.66,,,
190,LESTER-WINDY,Path,,Beginner,,,C106,C103,2.469817807,,117.31,99.59,116.41,97.29,,,
191,WINDY-VERMONT,Path,,Beginner,,,C135,C115,11.28766583,,117.61,91.76,127.56,86.43,,,
192,WINDY-CARTIER,Path,,Beginner,,,C135,C130,4.651849095,,117.61,91.76,118.75,87.25,,,
193,CARTIER-SERPENTINE,Path,,Beginner,,,C94,C87,6.828440525,,119.25,85.4,113.55,81.64,,,
194,CARTIER-MELODY,Path,,Beginner,,,C64,C62,3.368159735,,120.12,83.8,121.23,80.62,,,
195,SERPENTINE-CABIN,Path,,Beginner,,,C66,E999,8.037524495,,113.07,81.52,106.5,76.89,,,
196,PELICAN-CABIN,Path,,Beginner,,,C69,E999,2.50217905,,106.9,79.36,106.5,76.89,,,
197,MELODY-SPIKE,Path,,Beginner,,,C91,C55,3.28975683,,122.81,79.93,126.05,80.5,,,
198,MELODY-YAOHAN,Path,,Beginner,,,C59,S70,0.808022277,,121.64,79.06,122.12,78.41,,,
199,YAOHAN-SPIKE,Path,,Beginner,,,S76,S4,3.721518507,,126.32,74.08,128.76,76.89,,,
200,YAOHAN-REGATA,Path,,Beginner,,,S76,S50,4.115239969,,126.32,74.08,123.18,71.42,,,
201,SPIKE-KENNEX,Path,,Beginner,,,C48,C43,3.765912904,,129.8,81.78,132.66,84.23,,,
202,VERMONT-KENNEX,Path,,Beginner,,,C115,R60,4.514255199,,127.56,86.43,131.88,85.12,,,
203,KENNEX-PALMBEACH,Path,,Beginner,,,C38,C121,5.208617859,,133.58,86.56,130.94,91.05,,,
204,PALMBEACH-LISTON,Path,,Beginner,,,C121,C125,5.493860209,,130.94,91.05,131.33,96.53,,,
205,LISTON-LILY,Path,,Beginner,,,C126,C129,4.029218286,,131.8,97.42,130.75,101.31,,,
206,KENNEX-YARDLEY,Path,,Beginner,,,C34,C30,2.09995238,,135.17,87.75,136.94,88.88,,,
207,YARDLEY-RASPUTIN,Path,,Beginner,,,C31,C32,0.802309167,,137.47,88.77,138.21,88.46,,,
208,YARDLEY-NATO,Path,,Beginner,,,C28,C25,3.574758733,,137.36,90.38,138.66,93.71,,,
209,NATO-WILSON,Path,,Hard,,,C26,E14,19.95645259,,140.4,94.78,157.22,84.04,,,
210,RASPUTIN-MALITO,Path,,Beginner,,,E77,E76,1.133710721,,143.36,86.83,143.93,85.85,,,
211,MALITO-GOLAN,Path,,Intermediate,,,E86,E96,9.748235738,,144.96,85.41,153.56,80.82,,,
212,MALITO-GOLAN,Path,,Beginner,,,E67,E103,2.585884762,,148.4,80.91,150.68,79.69,,,
213,MALITO-TYRO,Path,,Beginner,,,E66,E64,2.28035085,,148.04,80.41,148.08,78.13,,,
214,TYRO-WINDSOR,Path,,Beginner,,,E64,E62,4.471520994,,148.08,78.13,145.84,74.26,,,
215,TYRO-WINDSOR,Path,,Beginner,,,E50,E52,2.295386678,,148.76,77.6,147.04,76.08,,,
216,TYRO-GOLAN,Path,,Beginner,,,E50,E49,1.425622671,,148.76,77.6,149.56,78.78,,,
217,GOLAN-GOLAN,Path,,Beginner,,,E47,E37,5.046830689,,151.08,78.65,155.92,80.08,,,
218,GOLAN-WILSON,Path,,Beginner,,,E35,E32,2.624823804,,155.44,81.21,156.48,83.62,,,
219,N125-N123,Path,SUNDRA,Beginner,,,N125,N123,,,111.07,111.5,111.42,110.48,,,
220,N118-N58,Path,LESTER,Beginner,,,N118,N58,,,115.68,102.66,116.0,101.76,,,
221,N58-C1,Path,LESTER,Beginner,,,N58,C1,,,116.0,101.76,116.57,101.17,,,
222,C1-C2,Path,LESTER,Beginner,,,C1,C2,,,116.57,101.17,116.84,100.17,,,
223,C2-C106,Path,LESTER,Beginner,,,C2,C106,,,116.84,100.17,117.31,99.59,,,
224,C103-C102,Path,WINDY,Beginner,,,C103,C102,,,116.41,97.29,115.72,96.35,,,
225,C102-C101,Path,WINDY,Beginner,,,C102,C101,,,115.72,96.35,116.16,95.25,,,
226,C101-C100,Path,WINDY,Beginner,,,C101,C100,,,116.16,95.25,116.22,94.17,,,
227,C100-C136,Path,WINDY,Beginner,,,C100,C136,,,116.22,94.17,117.05,93.23,,,
228,C136-C135,Path,WINDY,Beginner,,,C136,C135,,,117.05,93.23,117.61,91.76,,,
229,C130-C97,Path,CARTIER,Beginner,,,C130,C97,,,118.75,87.25,118.56,86.93,,,
230,C97-C98,Path,CARTIER,Beginner,,,C97,C98,,,118.56,86.93,119.87,86.33,,,
231,C98-C99,Path,CARTIER,Beginner,,,C98,C99,,,119.87,86.33,119.88,85.93,,,
232,C99-C96,Path,CARTIER,Beginner,,,C99,C96,,,119.88,85.93,120.06,85.56,,,
233,C96-C94,Path,CARTIER,Beginner,,,C96,C94,,,120.06,85.56,119.25,85.4,,,
234,C96-C95,Path,CARTIER,Beginner,,,C96,C95,,,120.06,85.56,119.56,84.6,,,
235,C95-C64,Path,CARTIER,Beginner,,,C95,C64,,,119.56,84.6,120.12,83.8,,,
